fname;w1;w2;ratio
0.jpg;84;200;2,380952380952381
1.jpg;54;189;3,5
2.jpg;66;122;1,8484848484848484
3.jpg;92;186;2,0217391304347827
4.jpg;80;294;3,675
5.jpg;66;210;3,1818181818181817
6.jpg;64;122;1,90625
7.jpg;48;197;4,104166666666667
8.jpg;82;349;4,2560975609756095
10.jpg;16;9;0,5625
11.jpg;46;96;2,0869565217391304
12.jpg;31;287;9,258064516129032
13.jpg;8;16;2,0
14.jpg;65;209;3,2153846153846155
15.jpg;;;
16.jpg;63;523;8,301587301587302
17.jpg;49;158;3,224489795918367
18.jpg;35;317;9,057142857142857
19.jpg;;;
20.jpg;91;401;4,406593406593407
21.jpg;83;239;2,8795180722891565
22.jpg;68;504;7,411764705882353
23.jpg;79;14;0,17721518987341772
24.jpg;42;253;6,023809523809524
25.jpg;50;386;7,72
26.jpg;;;
27.jpg;59;412;6,983050847457627
28.jpg;19;121;6,368421052631579
29.jpg;99;229;2,313131313131313
30.jpg;68;251;3,6911764705882355
31.jpg;32;144;4,5
32.jpg;;;
33.jpg;25;525;21,0
34.jpg;81;318;3,925925925925926
35.jpg;47;392;8,340425531914894
36.jpg;;;
37.jpg;14;37;2,642857142857143
38.jpg;;;
39.jpg;21;374;17,80952380952381
40.jpg;92;152;1,6521739130434783
41.jpg;52;261;5,019230769230769
42.jpg;49;361;7,36734693877551
43.jpg;36;85;2,361111111111111
44.jpg;54;132;2,4444444444444446
45.jpg;90;246;2,7333333333333334
46.jpg;50;130;2,6
47.jpg;55;346;6,290909090909091
48.jpg;76;285;3,75
49.jpg;50;243;4,86
50.jpg;106;454;4,283018867924528
51.jpg;58;286;4,931034482758621
52.jpg;43;10;0,23255813953488372
53.jpg;47;11;0,23404255319148937
54.jpg;53;227;4,283018867924528
55.jpg;39;313;8,025641025641026
56.jpg;67;190;2,8358208955223883
57.jpg;65;232;3,5692307692307694
58.jpg;80;119;1,4875
59.jpg;38;228;6,0
60.jpg;38;214;5,631578947368421
62.jpg;86;297;3,453488372093023
63.jpg;58;479;8,258620689655173
64.jpg;57;149;2,6140350877192984
65.jpg;43;296;6,883720930232558
66.jpg;13;8;0,6153846153846154
67.jpg;44;177;4,0227272727272725
68.jpg;44;343;7,795454545454546
69.jpg;73;205;2,808219178082192
70.jpg;54;327;6,055555555555555
71.jpg;89;484;5,438202247191011
72.jpg;19;25;1,3157894736842106
73.jpg;;;
74.jpg;;;
75.jpg;89;125;1,404494382022472
76.jpg;72;147;2,0416666666666665
77.jpg;48;180;3,75
78.jpg;;;
79.jpg;68;317;4,661764705882353
80.jpg;63;454;7,2063492063492065
81.jpg;77;477;6,194805194805195
82.jpg;162;118;0,7283950617283951
83.jpg;49;503;10,26530612244898
84.jpg;;;
85.jpg;51;253;4,96078431372549
86.jpg;;;
87.jpg;82;297;3,6219512195121952
88.jpg;18;129;7,166666666666667
89.jpg;18;107;5,944444444444445
90.jpg;68;122;1,7941176470588236
91.jpg;110;11;0,1
